   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_164.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.631795, 0, 2.12413e-06, 1.34988e-07, 1.41421, -2.12413e-06, 1.34988e-07, 1.34996e-07, 1.35008e-07, 1.35004e-07, 1.35017e-07, 1.35214e-07, 1.35153e-07, 1.42925e-07, 1.37252e-07, 5.79577e-07, 1.64955e-07, 1.34999e-07, 1.36071e-07, 1.39554e-07, 1.34988e-07, 1.63012e-06, 1.34988e-07, 1.38108e-07
0.639365, 0, 3.89988e-06, 3.77401e-07, 1.41421, -3.89988e-06, 3.77401e-07, 3.77426e-07, 3.77458e-07, 3.77446e-07, 3.77484e-07, 3.78034e-07, 3.77863e-07, 3.99123e-07, 3.83732e-07, 1.62072e-06, 4.22153e-07, 3.77434e-07, 3.79291e-07, 3.85769e-07, 3.77403e-07, 2.56343e-06, 3.77401e-07, 3.86128e-07
0.646935, 0, 7.70022e-06, 1.0095e-06, 1.41421, -7.70022e-06, 1.0095e-06, 1.00956e-06, 1.00965e-06, 1.00962e-06, 1.00972e-06, 1.01119e-06, 1.01074e-06, 1.06877e-06, 1.02644e-06, 4.33613e-06, 1.0757e-06, 1.00959e-06, 1.01275e-06, 1.02462e-06, 1.0095e-06, 4.18589e-06, 1.0095e-06, 1.03285e-06
0.654505, 0, 1.6106e-05, 2.58505e-06, 1.41421, -1.6106e-05, 2.58505e-06, 2.58522e-06, 2.58544e-06, 2.58536e-06, 2.58562e-06, 2.58939e-06, 2.58822e-06, 2.73863e-06, 2.62844e-06, 1.11061e-05, 2.68206e-06, 2.58528e-06, 2.59057e-06, 2.612e-06, 2.58506e-06, 7.18959e-06, 2.58505e-06, 2.64486e-06
0.662074, 0, 3.47966e-05, 6.34e-06, 1.41421, -3.47966e-05, 6.34e-06, 6.34041e-06, 6.34096e-06, 6.34076e-06, 6.34138e-06, 6.35063e-06, 6.34777e-06, 6.72311e-06, 6.44645e-06, 2.72449e-05, 6.48087e-06, 6.34055e-06, 6.34924e-06, 6.38732e-06, 6.34002e-06, 1.30355e-05, 6.34e-06, 6.48673e-06
0.669644, 0, 7.5747e-05, 1.48983e-05, 1.41421, -7.5747e-05, 1.48983e-05, 1.48992e-05, 1.49005e-05, 1.49e-05, 1.49015e-05, 1.49232e-05, 1.49165e-05, 1.58236e-05, 1.51485e-05, 6.40387e-05, 1.51011e-05, 1.48995e-05, 1.49136e-05, 1.49802e-05, 1.48983e-05, 2.47332e-05, 1.48983e-05, 1.52432e-05
0.677214, 0, 0.000163076, 3.3557e-05, 1.41421, -0.000163076, 3.3557e-05, 3.35591e-05, 3.3562e-05, 3.3561e-05, 3.35643e-05, 3.36133e-05, 3.35981e-05, 3.57302e-05, 3.41208e-05, 0.000144282, 3.38467e-05, 3.35599e-05, 3.35821e-05, 3.3697e-05, 3.35571e-05, 4.8263e-05, 3.3557e-05, 3.43341e-05
0.684784, 0, 0.000343076, 7.2479e-05, 1.41421, -0.000343076, 7.2479e-05, 7.24836e-05, 7.24899e-05, 7.24876e-05, 7.24948e-05, 7.26006e-05, 7.25678e-05, 7.74523e-05, 7.36972e-05, 0.000311726, 7.28897e-05, 7.24852e-05, 7.25198e-05, 7.27156e-05, 7.24792e-05, 9.50126e-05, 7.2479e-05, 7.41582e-05
0.692354, 0, 0.000700303, 0.000150176, 1.41421, -0.000700303, 0.000150176, 0.000150186, 0.000150199, 0.000150194, 0.000150209, 0.000150429, 0.000150361, 0.000161297, 0.000152702, 0.000646112, 0.000150755, 0.000150189, 0.000150242, 0.000150572, 0.000150177, 0.000185668, 0.000150176, 0.000153657
0.699924, 0.985982, 0.00138159, 0.000298641, 1.728, 0.984601, 0.000298641, 0.000298661, 0.000298687, 0.000298677, 0.000298707, 0.000299143, 0.000299008, 0.000322975, 0.000303666, 0.00128533, 0.000299452, 0.000298667, 0.000298747, 0.000299299, 0.000298642, 0.000355987, 0.000298641, 0.000305567
