   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_46.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.593583, 0, 2.9733e-07, 8.6188e-25, 1.41421, -2.9733e-07, 0, 3.00385e-14, 3.60589e-14, 5.31666e-13, 5.03517e-13, 3.44102e-13, 3.86442e-13, 1.77766e-11, 1.00016e-11, 8.59139e-12, 2.23407e-09, 3.15859e-09, 1.94382e-12, 4.77371e-14, 1.84819e-11, 2.16238e-15, 2.91856e-07, 8.6188e-25, 8.6188e-25, 2.19965e-11
0.601463, 0, 4.73055e-07, 1.047e-09, 1.41421, -4.73055e-07, 1.047e-09, 1.04714e-09, 1.04716e-09, 1.04942e-09, 1.04929e-09, 1.04857e-09, 1.04876e-09, 1.12221e-09, 1.09257e-09, 1.08614e-09, 1.12257e-08, 6.07992e-09, 1.05586e-09, 1.04722e-09, 1.08241e-09, 1.04701e-09, 4.57531e-07, 1.047e-09, 1.047e-09, 1.14722e-09
0.609344, 0, 7.55081e-07, 4.75262e-09, 1.41421, -7.55081e-07, 4.75262e-09, 4.75311e-09, 4.75321e-09, 4.76139e-09, 4.76093e-09, 4.7583e-09, 4.759e-09, 5.0174e-09, 4.91772e-09, 4.89444e-09, 4.16312e-08, 1.26829e-08, 4.7847e-09, 4.7534e-09, 4.81952e-09, 4.75265e-09, 7.09207e-07, 4.75262e-09, 4.75262e-09, 5.11572e-09
0.617225, 0, 1.22834e-06, 1.71676e-08, 1.41421, -1.22834e-06, 1.71676e-08, 1.71693e-08, 1.71696e-08, 1.71967e-08, 1.71951e-08, 1.71864e-08, 1.71887e-08, 1.80274e-08, 1.7714e-08, 1.7637e-08, 1.39223e-07, 2.9527e-08, 1.72738e-08, 1.71702e-08, 1.72922e-08, 1.71677e-08, 1.09051e-06, 1.71676e-08, 1.71676e-08, 1.83694e-08
0.625106, 0, 2.08257e-06, 5.66685e-08, 1.41421, -2.08257e-06, 5.66685e-08, 5.66736e-08, 5.66746e-08, 5.6759e-08, 5.67542e-08, 5.67271e-08, 5.67343e-08, 5.93058e-08, 5.83713e-08, 5.81312e-08, 4.37022e-07, 7.57243e-08, 5.69994e-08, 5.66766e-08, 5.68968e-08, 5.66689e-08, 1.67273e-06, 5.66685e-08, 5.66685e-08, 6.04134e-08
0.632987, 0, 3.76898e-06, 1.76176e-07, 1.41421, -3.76898e-06, 1.76176e-07, 1.76191e-07, 1.76194e-07, 1.76444e-07, 1.7643e-07, 1.7635e-07, 1.76371e-07, 1.8387e-07, 1.81214e-07, 1.80504e-07, 1.30153e-06, 2.05246e-07, 1.77155e-07, 1.762e-07, 1.76588e-07, 1.76177e-07, 2.58407e-06, 1.76176e-07, 1.76176e-07, 1.87256e-07
0.640868, 0, 7.37771e-06, 5.20103e-07, 1.41421, -7.37771e-06, 5.20103e-07, 5.20146e-07, 5.20155e-07, 5.20858e-07, 5.20818e-07, 5.20592e-07, 5.20652e-07, 5.41649e-07, 5.34294e-07, 5.32293e-07, 3.68992e-06, 5.63988e-07, 5.22861e-07, 5.20171e-07, 5.20836e-07, 5.20106e-07, 4.07872e-06, 5.20103e-07, 5.20103e-07, 5.51313e-07
0.648749, 0, 1.55003e-05, 1.46192e-06, 1.41421, -1.55003e-05, 1.46192e-06, 1.46203e-06, 1.46205e-06, 1.46394e-06, 1.46383e-06, 1.46323e-06, 1.46339e-06, 1.5195e-06, 1.50001e-06, 1.49464e-06, 9.97145e-06, 1.52749e-06, 1.46932e-06, 1.4621e-06, 1.4632e-06, 1.46192e-06, 6.69714e-06, 1.46192e-06, 1.46192e-06, 1.5457e-06
0.65663, 0, 3.40913e-05, 3.9166e-06, 1.41421, -3.40913e-05, 3.9166e-06, 3.91689e-06, 3.91695e-06, 3.92179e-06, 3.92151e-06, 3.91996e-06, 3.92037e-06, 4.06676e-06, 4.01413e-06, 4.00038e-06, 2.57025e-05, 4.01361e-06, 3.93556e-06, 3.91707e-06, 3.91882e-06, 3.91662e-06, 1.16228e-05, 3.9166e-06, 3.9166e-06, 4.1311e-06
0.664511, 0, 7.62325e-05, 1.00076e-05, 1.41421, -7.62325e-05, 1.00076e-05, 1.00084e-05, 1.00085e-05, 1.00203e-05, 1.00196e-05, 1.00158e-05, 1.00168e-05, 1.03817e-05, 1.02459e-05, 1.02123e-05, 6.32266e-05, 1.01498e-05, 1.00539e-05, 1.00088e-05, 1.00114e-05, 1.00077e-05, 2.14356e-05, 1.00076e-05, 1.00076e-05, 1.05316e-05
