   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_124.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, P_K, Si_K, Br_L, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.595275, 0, 0.000237017, 2.94029e-05, 1.41421, -0.000237017, 2.99072e-05, 2.94029e-05, 2.9405e-05, 2.94046e-05, 3.03304e-05, 3.00895e-05, 3.01206e-05, 2.95911e-05, 0.000145083, 2.96514e-05, 2.94238e-05, 8.99544e-05, 2.94032e-05, 5.63062e-05, 2.94029e-05, 3.05846e-05
0.603151, 0, 0.000360922, 4.84283e-05, 1.41421, -0.000360922, 4.92455e-05, 4.84283e-05, 4.84317e-05, 4.84312e-05, 4.99313e-05, 4.96451e-05, 4.95914e-05, 4.87333e-05, 0.000235886, 4.87387e-05, 4.84573e-05, 0.00013053, 4.84288e-05, 8.40971e-05, 4.84283e-05, 5.03433e-05
0.611027, 0, 0.00054763, 7.84447e-05, 1.41421, -0.00054763, 7.97471e-05, 7.84447e-05, 7.84501e-05, 7.84493e-05, 8.08402e-05, 8.057e-05, 8.02983e-05, 7.89308e-05, 0.000377216, 7.88313e-05, 7.84846e-05, 0.000189366, 7.84455e-05, 0.000126286, 7.84447e-05, 8.14968e-05
0.618902, 0, 0.000826087, 0.000124974, 1.41421, -0.000826087, 0.000127016, 0.000124974, 0.000124982, 0.000124981, 0.000128729, 0.000128632, 0.00012788, 0.000125736, 0.000593356, 0.000125454, 0.000125029, 0.000274362, 0.000124975, 0.000189857, 0.000124974, 0.000129759
0.626778, 0, 0.00123656, 0.000195843, 1.41421, -0.00123656, 0.000198992, 0.000195843, 0.000195857, 0.000195855, 0.000201635, 0.000202049, 0.000200325, 0.000197019, 0.000918172, 0.000196439, 0.000195918, 0.000396493, 0.000195845, 0.000284702, 0.000195843, 0.000203222
0.634653, 0, 0.00183392, 0.000301906, 1.41421, -0.00183392, 0.000306684, 0.000301906, 0.000301926, 0.000301923, 0.000310693, 0.000312277, 0.000308705, 0.000303689, 0.00139784, 0.000302644, 0.000302008, 0.000570763, 0.000301909, 0.000424541, 0.000301906, 0.000313102
0.642529, 0, 0.00269145, 0.000457881, 1.41421, -0.00269145, 0.000465013, 0.000457881, 0.000457911, 0.000457906, 0.000470998, 0.000474952, 0.000468031, 0.000460543, 0.00209391, 0.000458792, 0.000458019, 0.00081733, 0.000457885, 0.000628022, 0.000457881, 0.000474594
0.650405, 0, 0.00390495, 0.000683277, 1.41421, -0.00390495, 0.000693753, 0.000683277, 0.00068332, 0.000683314, 0.000702546, 0.000710952, 0.000698187, 0.000687187, 0.00308657, 0.0006844, 0.000683463, 0.00116277, 0.000683283, 0.000919963, 0.000683277, 0.000707829
0.65828, 0, 0.00559685, 0.00100335, 1.41421, -0.00559685, 0.0010185, 0.00100335, 0.00100341, 0.0010034, 0.00103121, 0.00104753, 0.00102491, 0.001009, 0.00447778, 0.00100473, 0.0010036, 0.00164144, 0.00100336, 0.00133268, 0.00100335, 0.00103885
0.666156, 0, 0.00792013, 0.00145001, 1.41421, -0.00792013, 0.00147157, 0.00145001, 0.0014501, 0.00145009, 0.00148965, 0.00151946, 0.00148069, 0.00145806, 0.00639398, 0.00145171, 0.00145035, 0.00229676, 0.00145003, 0.00190735, 0.00145001, 0.00150052
