   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_290.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.465416, 0, 5.38157e-08, 2.26916e-28, 1.41421, -5.38157e-08, 0, 2.26916e-28, 2.26916e-28, 2.26916e-28, 2.26916e-28, 2.26916e-28, 2.26916e-28, 2.26916e-28, 2.26916e-28, 2.26916e-28, 2.26916e-28, 6.64253e-10, 2.26916e-28, 1.34691e-11, 2.26916e-28, 2.26916e-28, 5.3138e-08, 2.26916e-28, 2.26916e-28, 2.26916e-28
0.473298, 0, 7.80753e-08, 1.00091e-27, 1.41421, -7.80753e-08, 0, 1.00091e-27, 1.00091e-27, 1.00091e-27, 1.00091e-27, 1.00091e-27, 1.00091e-27, 1.00091e-27, 1.00091e-27, 1.00091e-27, 1.00091e-27, 9.68842e-10, 1.00091e-27, 2.24059e-11, 1.00091e-27, 1.00091e-27, 7.70841e-08, 1.00091e-27, 1.00091e-27, 1.00091e-27
0.48118, 0, 1.12393e-07, 6.88499e-27, 1.41421, -1.12393e-07, 0, 6.88499e-27, 6.88499e-27, 6.88499e-27, 6.88499e-27, 6.88499e-27, 6.88499e-27, 6.88499e-27, 6.88499e-27, 6.88499e-27, 6.88499e-27, 1.4033e-09, 6.88499e-27, 3.71849e-11, 6.88499e-27, 6.88499e-27, 1.10953e-07, 6.88499e-27, 6.88499e-27, 6.88499e-27
0.489061, 0, 1.60555e-07, 2.65428e-26, 1.41421, -1.60555e-07, 0, 2.65428e-26, 2.65428e-26, 2.65428e-26, 2.65428e-26, 2.65428e-26, 2.65428e-26, 8.23569e-13, 2.65428e-26, 2.65428e-26, 2.65428e-26, 2.01875e-09, 2.65428e-26, 6.14594e-11, 2.65428e-26, 2.65428e-26, 1.58474e-07, 2.65428e-26, 2.65428e-26, 2.65428e-26
0.496943, 0, 2.27617e-07, 9.7973e-26, 1.41421, -2.27617e-07, 0, 9.7973e-26, 9.7973e-26, 9.7973e-26, 9.7973e-26, 9.7973e-26, 9.7973e-26, 2.94216e-12, 9.7973e-26, 9.7973e-26, 9.7973e-26, 2.8849e-09, 9.7973e-26, 1.01165e-10, 9.7973e-26, 9.7973e-26, 2.24628e-07, 9.7973e-26, 9.7973e-26, 9.7973e-26
0.504825, 0, 3.20281e-07, 3.48971e-25, 1.41421, -3.20281e-07, 0, 3.48971e-25, 3.48971e-25, 3.48971e-25, 3.48971e-25, 3.48971e-25, 3.48971e-25, 8.20197e-12, 3.48971e-25, 3.48971e-25, 3.48971e-25, 4.09602e-09, 3.48971e-25, 1.65745e-10, 3.48971e-25, 3.48971e-25, 3.16011e-07, 3.48971e-25, 3.48971e-25, 3.48971e-25
0.512706, 0, 4.49167e-07, 1.74338e-10, 1.41421, -4.49167e-07, 1.74338e-10, 1.74354e-10, 1.74404e-10, 5.99031e-10, 1.8549e-10, 1.75246e-10, 1.84234e-10, 2.34256e-10, 6.01857e-10, 1.75286e-10, 8.47657e-10, 5.95329e-09, 1.76433e-10, 4.44468e-10, 1.74338e-10, 1.7434e-10, 4.41491e-07, 1.74338e-10, 1.74338e-10, 1.89739e-10
0.520588, 0, 6.26748e-07, 6.20067e-10, 1.41421, -6.26748e-07, 6.20067e-10, 6.20121e-10, 6.203e-10, 2.1284e-09, 6.59673e-10, 6.2329e-10, 6.55214e-10, 8.09287e-10, 2.13843e-09, 6.23434e-10, 3.01141e-09, 8.72314e-09, 6.27505e-10, 1.05786e-09, 6.20067e-10, 6.20073e-10, 6.12456e-07, 6.20067e-10, 6.20067e-10, 6.74763e-10
0.52847, 0, 8.71953e-07, 1.72235e-09, 1.41421, -8.71953e-07, 1.72235e-09, 1.7225e-09, 1.723e-09, 5.90504e-09, 1.83218e-09, 1.73129e-09, 1.81981e-09, 2.22509e-09, 5.93287e-09, 1.73169e-09, 8.35369e-09, 1.30156e-08, 1.74298e-09, 2.42749e-09, 1.72235e-09, 1.72237e-09, 8.44028e-07, 1.72235e-09, 1.72235e-09, 1.87402e-09
0.536351, 0, 1.21304e-06, 4.36756e-09, 1.41421, -1.21304e-06, 4.36756e-09, 4.36794e-09, 4.3692e-09, 1.496e-08, 4.6457e-09, 4.3902e-09, 4.61438e-09, 5.60973e-09, 1.50304e-08, 4.39121e-09, 2.1161e-08, 2.00138e-08, 4.4198e-09, 5.49589e-09, 4.36756e-09, 4.3676e-09, 1.15597e-06, 4.36756e-09, 4.36756e-09, 4.75167e-09
0.544233, 0, 1.69504e-06, 1.05393e-08, 1.41421, -1.69504e-06, 1.05393e-08, 1.05403e-08, 1.05433e-08, 3.60761e-08, 1.12099e-08, 1.05939e-08, 1.11344e-08, 1.34789e-08, 3.6246e-08, 1.05963e-08, 5.1026e-08, 3.209e-08, 1.06653e-08, 1.23324e-08, 1.05393e-08, 1.05394e-08, 1.5746e-06, 1.05393e-08, 1.05393e-08, 1.14654e-08
0.552115, 0, 2.39393e-06, 2.45543e-08, 1.41421, -2.39393e-06, 2.45543e-08, 2.45565e-08, 2.45635e-08, 8.40093e-08, 2.61155e-08, 2.46814e-08, 2.59398e-08, 3.13755e-08, 8.44049e-08, 2.46871e-08, 1.18816e-07, 5.40673e-08, 2.48476e-08, 2.73837e-08, 2.45543e-08, 2.45546e-08, 2.13553e-06, 2.45543e-08, 2.45543e-08, 2.67103e-08
0.559997, 2, 3.44481e-06, 5.55435e-08, 2, 2, 5.55435e-08, 5.55484e-08, 5.55643e-08, 1.89963e-07, 5.90732e-08, 5.58308e-08, 5.86758e-08, 7.16746e-08, 1.90858e-07, 5.58436e-08, 2.68656e-07, 9.57314e-08, 5.62065e-08, 5.99751e-08, 5.55435e-08, 5.55441e-08, 2.8884e-06, 5.55435e-08, 5.55435e-08, 6.0418e-08
0.567878, 0, 5.10163e-06, 1.22284e-07, 1.41421, -5.10163e-06, 1.22284e-07, 1.22295e-07, 1.2233e-07, 4.18085e-07, 1.30051e-07, 1.22916e-07, 1.29177e-07, 1.6688e-07, 4.20053e-07, 1.22944e-07, 5.91254e-07, 1.76701e-07, 1.23743e-07, 1.29173e-07, 1.22284e-07, 1.22285e-07, 3.90499e-06, 1.22284e-07, 1.22284e-07, 1.33011e-07
0.57576, 0, 7.82471e-06, 2.62314e-07, 1.41421, -7.82471e-06, 2.62314e-07, 2.62337e-07, 2.62412e-07, 8.96561e-07, 2.78968e-07, 2.63669e-07, 2.77093e-07, 3.70674e-07, 9.00781e-07, 2.6373e-07, 1.26787e-06, 3.35589e-07, 2.65442e-07, 2.72942e-07, 2.62314e-07, 2.62316e-07, 5.29372e-06, 2.62314e-07, 2.62314e-07, 2.85313e-07
0.583642, 0, 1.24765e-05, 5.48577e-07, 1.41421, -1.24765e-05, 5.48577e-07, 5.48625e-07, 5.48782e-07, 1.87439e-06, 5.83391e-07, 5.51411e-07, 5.79472e-07, 7.96931e-07, 1.88322e-06, 5.51537e-07, 2.65056e-06, 6.46708e-07, 5.55116e-07, 5.64855e-07, 5.48577e-07, 5.48583e-07, 7.22488e-06, 5.48577e-07, 5.48577e-07, 5.96655e-07
0.591524, 0, 2.06451e-05, 1.11884e-06, 1.41421, -2.06451e-05, 1.11884e-06, 1.11894e-06, 1.11926e-06, 3.82165e-06, 1.18981e-06, 1.12462e-06, 1.18182e-06, 1.66781e-06, 3.83963e-06, 1.12488e-06, 5.40395e-06, 1.24955e-06, 1.13217e-06, 1.14358e-06, 1.11884e-06, 1.11885e-06, 9.97432e-06, 1.11884e-06, 1.11884e-06, 1.21685e-06
